	-2181	342	24	-7	-1	
679	2200	-2154	295	30	-3	19	
680	2215	-2170	326	48	2	21	
681	2237	-2179	298	39	-3	22	
682	2233	-2182	319	27	0	22	
683	2192	-2155	284	28	0	17	
684	2221	-2169	299	34	-22	3	
685	2258	-2186	296	36	-12	4	
686	2227	-2199	309	34	-3	21	
687	2232	-2152	315	32	8	9	
688	2242	-2155	318	26	27	7	
689	2241	-2168	317	30	49	26	
690	2234	-2166	293	6	51	13	
691	2219	-2172	301	15	43	14	
692	2221	-2176	305	14	34	24	
693	2232	-2169	309	10	39	12	
694	2225	-2180	301	12	47	11	
695	2216	-2185	298	17	44	10	
696	2244	-2175	308	24	46	18	
697	2221	-2167	315	15	71	11	
698	2202	-2146	292	-1	60	-3	
699	2213	-2189	302	2	26	-3	
700	2212	-2181	297	-12	4	4	
701	2232	-2172	309	-2	9	-3	
702	2222	-2175	300	-6	7	1	
703	2190	-2184	293	-2	6	11	
704	2207	-2166	293	-8	-13	-3	
705	2199	-2171	290	5	-19	9	
706	2197	-2188	267	1	-47	12	
707	2212	-2190	301	13	-47	9	
708	2231	-2164	313	21	-24	18	
709	2207	-2163	295	0	-7	7	
710	2196	-2162	297	-15	-21	9	
711	2212	-2176	309	-9	-19	5	
712	2212	-2182	305	-11	-14	8	
713	2208	-2180	292	-8	-15	3	
714	2196	-2162	304	-16	-29	9	
715	2206	-2180	296	-7	-45	10	
716	2211	-2172	315	6	-59	-2	
